geneid	1 human	2 chimpanzee	3 Rhesus monkey	4 mouse	5 rat	6 dog	7 cow	8 chicken	9 western clawed frog	10 zebrafish	11 fruit fly	12 malaria mosquito	13 nematode	14 budding yeast	15 fission yeast	16 ascomycetes	17 ascomycetes	18 rice blast fungus	19 ascomycetes	20 thale cress	21 rice
49	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
50	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
51	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1
52	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0
53	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
54	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1
55	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
56	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0
59	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
60	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1
70	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1
71	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
72	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1
81	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0
86	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1
87	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
88	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
90	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
91	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
92	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
93	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
94	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
95	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0
97	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
98	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
100	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0
101	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
102	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
103	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
104	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
105	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
107	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
108	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
109	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
111	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
112	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
113	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
114	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
115	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
116	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
117	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
118	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
119	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
120	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
123	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
124	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
125	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
126	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
127	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
131	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1
133	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
134	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
135	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
136	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
140	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
141	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
142	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1
143	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
146	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
147	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
148	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
150	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0
151	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
152	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
153	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
154	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
155	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
156	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
157	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
158	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0
159	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
160	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
161	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0
162	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1
163	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
164	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1
165	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
166	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
167	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
175	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1
176	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
177	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0
181	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
182	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
183	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
185	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
186	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
187	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1
190	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
196	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
197	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
199	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
203	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0
204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
205	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
207	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
208	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0
210	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
211	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
212	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0
213	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
214	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
215	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0
216	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1
217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
218	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
219	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1
220	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
221	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0
223	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0
224	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0
225	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
226	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
229	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
230	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
231	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
238	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
239	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
240	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1
241	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
242	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
248	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
249	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
250	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
251	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
257	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
258	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
259	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
262	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
265	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
267	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
268	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
269	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
270	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
271	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
272	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
273	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
274	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
276	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
280	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
283	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
285	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
286	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
287	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
288	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
290	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
291	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
292	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
293	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
301	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
302	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
306	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
307	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0
308	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
309	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
310	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0
311	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
312	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1
313	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
314	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
317	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
318	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
319	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
321	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
322	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
323	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
324	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
325	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
327	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1
328	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1
329	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
330	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
332	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
333	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
334	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
335	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
336	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
337	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
338	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
339	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
341	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
344	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
345	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
347	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
348	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
350	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
351	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
353	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
354	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
355	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
356	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
357	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
358	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0
359	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
360	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0
361	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1
362	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
363	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
366	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0
367	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
368	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
369	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
372	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1
373	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
374	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
375	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
377	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1
378	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
379	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
381	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
382	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
383	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0
384	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
387	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
388	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
389	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0
390	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
391	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
392	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0
393	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
394	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
395	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
397	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
398	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
399	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
400	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
401	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
402	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1
403	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
405	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
406	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
407	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
408	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
409	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
410	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
411	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0
412	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
414	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
415	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
416	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
417	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
419	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
420	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
421	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
427	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
429	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
430	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
432	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
